prefecture_code,prefecture_name,horizon,best_params,best_val_loss,mae_norm,rmse_norm,n_trials,n_train_samples,n_val_samples,hpo_test_done
27,大阪府,1,"{""d_model"": 128, ""n_heads"": 8, ""patch_len"": 8, ""dropout"": 0.15000000000000002, ""lr"": 0.0016836803411403218, ""batch_size"": 16, ""revin"": false, ""input_norm"": false, ""output_norm"": false}",0.0011090240600864,0.0257259849458932,0.0520652458071708,20,1984,496,True
27,大阪府,2,"{""d_model"": 128, ""n_heads"": 8, ""patch_len"": 8, ""dropout"": 0.15000000000000002, ""lr"": 0.0016836803411403218, ""batch_size"": 16, ""revin"": false, ""input_norm"": false, ""output_norm"": false}",0.0011090240600864,0.0568643696606159,0.0888158157467842,20,1984,496,True
27,大阪府,3,"{""d_model"": 256, ""n_heads"": 8, ""patch_len"": 32, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.0279415268450975,0.0718782469630241,20,1984,496,True
27,大阪府,4,"{""d_model"": 256, ""n_heads"": 8, ""patch_len"": 8, ""dropout"": 0.2, ""lr"": 0.0001566453343030732, ""batch_size"": 32, ""revin"": false, ""input_norm"": false, ""output_norm"": false}",0.0018715438358776,0.0670898854732513,0.1046907529234886,20,1585,397,True
28,兵庫県,1,"{""d_model"": 256, ""n_heads"": 8, ""patch_len"": 8, ""dropout"": 0.1, ""lr"": 0.0008676757589869189, ""batch_size"": 32, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",0.0007633615628184,0.0197041872888803,0.0598406307399272,20,1984,496,True
28,兵庫県,2,"{""d_model"": 256, ""n_heads"": 8, ""patch_len"": 8, ""dropout"": 0.1, ""lr"": 0.0008676757589869189, ""batch_size"": 32, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",0.0007633615628184,0.0261390469968318,0.0742387920618057,20,1984,496,True
28,兵庫県,3,"{""d_model"": 128, ""n_heads"": 8, ""patch_len"": 8, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.0327829234302043,0.0765475109219551,20,1984,496,True
28,兵庫県,4,"{""d_model"": 128, ""n_heads"": 16, ""patch_len"": 16, ""dropout"": 0.15000000000000002, ""lr"": 0.00031284669776243847, ""batch_size"": 32, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",0.0020011331196292,0.0393626727163791,0.0932377576828002,20,1585,397,True
29,奈良県,1,"{""d_model"": 128, ""n_heads"": 8, ""patch_len"": 8, ""dropout"": 0.15000000000000002, ""lr"": 0.000238310491654179, ""batch_size"": 32, ""revin"": false, ""input_norm"": false, ""output_norm"": false}",0.0009406469932488,0.020493995398283,0.0586532652378082,20,1984,496,True
29,奈良県,2,"{""d_model"": 128, ""n_heads"": 8, ""patch_len"": 8, ""dropout"": 0.15000000000000002, ""lr"": 0.000238310491654179, ""batch_size"": 32, ""revin"": false, ""input_norm"": false, ""output_norm"": false}",0.0009406469932488,0.0278061255812644,0.071376658976078,20,1984,496,True
29,奈良県,3,"{""d_model"": 256, ""n_heads"": 8, ""patch_len"": 8, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.0399017184972763,0.0819723978638649,20,1984,496,True
29,奈良県,4,"{""d_model"": 384, ""n_heads"": 16, ""patch_len"": 32, ""dropout"": 0.05, ""lr"": 0.009613835424860434, ""batch_size"": 32, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",0.003702290195506,0.0433519408106803,0.0930770114064216,20,1585,397,True
30,和歌山県,1,"{""d_model"": 256, ""n_heads"": 8, ""patch_len"": 32, ""dropout"": 0.05, ""lr"": 0.0002957226159637292, ""batch_size"": 32, ""revin"": false, ""input_norm"": false, ""output_norm"": false}",0.001048339540566,0.0267796423286199,0.0580718591809272,20,1984,496,True
